Username,Name,Tweet Text,Tweet URL,Created at
jasutopia1,Jasutopia,"17+8 Tuntutan RAKYAT

#TuntutanRakyat #17plus8 #ReformasiDPR #SuaraRakyat #AksiDamai #MahasiswaBergerak #SaveDemokrasi #HentikanKekerasan #TransparansiAnggaran #TolakKriminalisasi #ReformasiPolri #TNIKembaliKeBarak #BeraniBersuara #ReformasiTotal #JeromePolin #SuarakanKeadilan https://t.co/P5s5qTt1Dm",https://twitter.com/jasutopia1/status/1963672495657210175,2025-09-04 18:36:20+00:00
PETAJakarta,PETA Jakarta 🇰🇼,"Bahaya Latent (Fakta) Politik
Anak muda dipaksa jadi Ketua Partai.
Anak muda dipaksa jadi anak haram Konstitusi.
Tirani Keserakahan Dinasti mem-Belenggu Meritokrasi.
Bahaya Latent Indonesia.
#MelawanLupa #17Plus8 #IndonesiaGelap
TO YOU #Jungkook #ResetIndonesia  #30S2025 #NYFW https://t.co/R9oRb2BZ22",https://twitter.com/PETAJakarta/status/1966671239402975373,2025-09-13 01:12:17+00:00
pengenjadiraftr,Pengen Jadi Rafathar,"17+8
#178TuntutanRakyat #17Plus8 #TuntutanRakyat #ReformasiSekarang #SuaraRakyat #IndonesiaBerubah #ParlemenRakyat #BelaDemokrasi #StopKriminalisasi #TransparansiPemerintah #RakyatTidakDiam #BeraniBersuara #JanganDiamAja https://t.co/TpPCrgr4uY",https://twitter.com/pengenjadiraftr/status/1964654929186075063,2025-09-07 11:40:11+00:00
RezaAnugrah_03,Ca,"Demo se cutesy ini, awas aja ada yang nuduh makar yeee🤏🏻. #acab1312 #17plus8 #septembercerah #demo #DPRIAN https://t.co/0sGSj6IRvE",https://twitter.com/RezaAnugrah_03/status/1964203643692847473,2025-09-06 05:46:56+00:00
panggung2024,Panggung Politik,"“17+8 Tuntutan Rakyat” jelas: tarik TNI, usut korban demo, stop represif, transparansi DPR, ratifikasi UU koruptor, reformasi parpol &amp; aparat. Pemerintah harus dengar, rakyat menuntut perubahan nyata!

#17plus8 #TuntutanRakyat #Reformasi #HAM #PolitikIndonesia https://t.co/lKQfgSvX0z",https://twitter.com/panggung2024/status/1963166482248122735,2025-09-03 09:05:37+00:00
Bercahayanew,bercahaya news,"Prabowo menanggapi isu 17+8 dan menilai sejumlah tuntutan rakyat masuk akal, menunjukkan sikap terbuka terhadap aspirasi masyarakat.

https://t.co/OX0YXKFsV3

#Prabowo #TuntutanRakyat #17Plus8 #PolitikIndonesia #AspirasiMasyarakat #BeritaTerkini #SorotanPublik #ResponsPemimpin https://t.co/xOWwYeMOxx",https://twitter.com/Bercahayanew/status/1965311769859260531,2025-09-09 07:10:14+00:00
DiskursusNet,Diskursus Network,"Ahli Fisika dan Matematika ITB, Alif Towew susun graft Tuntutan Rakyat 17+8 nih.

Buat pemerintah, influencer, aktivis, masyarakat bisa membuat skala prioritas penyelesaiannya.

#Fisika #Demonstrasi #DPRRI #Matematika #DiskursusNetwork #OpenMinded #AlifTowew #17plus8 https://t.co/Ach2q9EEhY",https://twitter.com/DiskursusNet/status/1968956666163892588,2025-09-19 08:33:45+00:00
Zibon_Update,ZIBON UPDATE,"Presiden Prabowo akhirnya buka suara soal 17+8 Tuntutan Rakyat 👏🇮🇩
Sebagian dianggap masuk akal &amp; bisa dirundingkan ✅

#PrabowoSubianto #17plus8 #TuntutanRakyat #BeritaTerkini
#IndonesiaUpdate #FYPIndonesia #ViralHariIni #TrendingTopic
#UpdateNasional  #ZIBONUPDATE https://t.co/v2o9QlQW7N",https://twitter.com/Zibon_Update/status/1965020252435313082,2025-09-08 11:51:51+00:00
DiskursusNet,Diskursus Network,"SUPERVISI DAN KONTROL PIMPINAN DI POLRI LEMAH

#AlfonsLoemau #ReformasiPolri #Polri #ListyoSigit #Perseroan #Pungli #AdrianusMeliala #DiskursusNetwork #17plus8 https://t.co/taYdRILyMi",https://twitter.com/DiskursusNet/status/1971833536857755833,2025-09-27 07:05:24+00:00
DiskursusNet,Diskursus Network,"Pakar Hukum Tata Negara, Feri Amsari nilai ada kejanggalan dari masih ditempatkannya orang-orang Jokowi di Kabinet.

Selengkapnya di Channel YouTube Diskursus Net

#Politik #FeriAmsari #17plus8 #TuntutanRakyat #TataNegara #Hukum #PresidenPrabowo #prabowo #gibran #jokowi #oligarki https://t.co/6F0q7V3LxR",https://twitter.com/DiskursusNet/status/1969340766330749436,2025-09-20 10:00:01+00:00
